task_name	task_code	task_file	instruction_dur	start_time	end_time
finger_sequence	fingseq	finger_sequence_03.tsv	5	0	35
n_back	nbko	n_back_03.tsv	5	35	70
demand_grid	dmgrd	demand_grid_03.tsv	5	70	105
affective	affect	affective_03.tsv	5	105	140
