task_name	task_code	task_file	instruction_dur	start_time	end_time
n_back	nbko	n_back_02.tsv	5	0	35
demand_grid	dmgrd	demand_grid_02.tsv	5	35	70
finger_sequence	fingseq	finger_sequence_02.tsv	5	70	105
affective	affect	affective_02.tsv	5	105	140
