run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	action_observation	acva-acvk	action_observation_01.tsv	5	0	35	0.00032233353704214096	1	0.0003230834845453501			34.186855541775
1	demand_grid	dmgrd	demand_grid_01.tsv	5	35	70	35.00000929180533	1	35.000012250151485	0.0		69.562254041899
1	n_back	nbko	n_back_01.tsv	5	70	105	70.00000508339144	1	70.00000716676004	0.0		104.51683762506582
1	movie	mov	movie_01.tsv	5	105	140	105.0000108750537	1	105.00001395842992			139.9636272501666
1	finger_sequence	fingseq	finger_sequence_01.tsv	5	140	175	140.00000941683538	1	140.00001025013626	0.20833333333333331	0.606057968766739	174.5285613751039
1	auditory_narrative	audnarr	auditory_narrative_01.tsv	5	175	210	175.00001000007614	1	175.00001358333975			210.08259341679513
1	affective	affect	affective_01.tsv	5	210	245	210.09301800001413	1	210.09301879187115	0.0		244.6164072083775
1	rest	rest	rest_01.tsv	5	245	280	245.00000787503086	1	245.00000879191794			280.00175662501715
