task_name	task_code	task_file	instruction_dur	start_time	end_time
affective	affect	affective_02.tsv	5	0	35
rest	rest	rest_02.tsv	5	35	70
auditory_narrative	audnarr	auditory_narrative_02.tsv	5	70	105
movie	mov	movie_02.tsv	5	105	140
n_back	nbko	n_back_02.tsv	5	140	175
finger_sequence	fingseq	finger_sequence_02.tsv	5	175	210
action_observation	acva-acvk	action_observation_02.tsv	5	210	245
demand_grid	dmgrd	demand_grid_02.tsv	5	245	280
