run_num	key_pleasant	key_unpleasant	trial_num	stim	trial_type	hand	trial_dur	iti_dur	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
2	4	3	13	unpleasant5.jpg	1	left	1.6	0.4	True	26.0	28.0	31.000018999911845	1	31.000021999934688	0		False
2	4	3	14	unpleasant4.jpg	1	left	1.6	0.4	True	28.0	30.0	33.00001679174602	1	33.00001862505451	0		False
1	4	3	0	unpleasant6.jpg	1	left	1.6	0.4	True	0.0	2.0	180.0002202084288	1	180.00022074999288	0		False
1	4	3	1	unpleasant22.jpg	1	left	1.6	0.4	True	2.0	4.0	182.0000165416859	1	182.00001720851287	0		False
1	4	3	2	unpleasant11.jpg	1	left	1.6	0.4	True	4.0	6.0	184.0000145835802	1	184.00001520849764	0		False
1	4	3	3	pleasant22.jpg	2	left	1.6	0.4	True	6.0	8.0	186.00002045859583	1	186.0000210418366	0		False
1	4	3	4	pleasant20.jpg	2	left	1.6	0.4	True	8.0	10.0	188.00001545855775	1	188.0000160834752	0		False
1	4	3	5	unpleasant8.jpg	1	left	1.6	0.4	True	10.0	12.0	190.0000149998814	1	190.0000155835878	0		False
1	4	3	6	unpleasant20.jpg	1	left	1.6	0.4	True	12.0	14.0	192.00002016685903	1	192.00002079177648	0		False
1	4	3	7	pleasant16.jpg	2	left	1.6	0.4	True	14.0	16.0	194.0000199584756	1	194.00002054171637	0		False
1	4	3	8	unpleasant13.jpg	1	left	1.6	0.4	True	16.0	18.0	196.0000142918434	1	196.00001487508416	0		False
1	4	3	9	pleasant7.jpg	2	left	1.6	0.4	True	18.0	20.0	198.00002154172398	1	198.0000222499948	0		False
1	4	3	10	pleasant17.jpg	2	left	1.6	0.4	True	20.0	22.0	200.00002366676927	1	200.0000242916867	0		False
1	4	3	11	pleasant2.jpg	2	left	1.6	0.4	True	22.0	24.0	202.00002083345316	1	202.0000215000473	0		False
1	4	3	12	unpleasant26.jpg	1	left	1.6	0.4	True	24.0	26.0	204.00002287491225	1	204.00002350006253	0		False
1	4	3	13	pleasant10.jpg	2	left	1.6	0.4	True	26.0	28.0	206.00001720851287	1	206.000017875107	0		False
1	4	3	14	unpleasant9.jpg	1	left	1.6	0.4	True	28.0	30.0	208.000023833476	1	208.0000245834235	0		False
