task_name	task_code	task_file	instruction_dur	start_time	end_time
action_observation	acva-acvk	action_observation_03.tsv	5	0	35
affective	affect	affective_03.tsv	5	35	70
finger_sequence	fingseq	finger_sequence_03.tsv	5	70	105
auditory_narrative	audnarr	auditory_narrative_03.tsv	5	105	140
demand_grid	dmgrd	demand_grid_03.tsv	5	140	175
n_back	nbko	n_back_03.tsv	5	175	210
rest	rest	rest_03.tsv	5	210	245
movie	mov	movie_03.tsv	5	245	280
