run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	auditory_narrative	audnarr	auditory_narrative_01.tsv	5	0	35	0.0001968333963304	1	0.0001975835766643			35.096347166690975
1	finger_sequence	fingseq	finger_sequence_01.tsv	5	35	70	35.1126675833948	1	35.112668375018984	0.0		69.52979050017893
1	action_observation	acva-acvk	action_observation_01.tsv	5	70	105	70.00000320840627	1	70.00000612507574			104.22326850006355
1	affective	affect	affective_01.tsv	5	105	140	105.0000072501134	1	105.0000087916851	0.0		139.62981620850042
1	movie	mov	movie_01.tsv	5	140	175	140.00000266660936	1	140.00000562518835			174.98102541663684
1	n_back	nbko	n_back_01.tsv	5	175	210	175.0000072501134	1	175.00000791670757	0.0		209.5252900000196
1	demand_grid	dmgrd	demand_grid_01.tsv	5	210	245	210.00000966666263	1	210.000011916738	0.0		244.6000467084814
1	rest	rest	rest_01.tsv	5	245	280	245.000007833587	1	245.00001066667028			280.00383862503804
2	affective	affect	affective_02.tsv	5	0	35	0.00022666668519377708	1	0.0002273332793265581	0.0		34.62138916668482
2	rest	rest	rest_02.tsv	5	35	70	35.000002208398655	1	35.00000504171476			70.00058233342133
2	auditory_narrative	audnarr	auditory_narrative_02.tsv	5	70	105	70.00597641686909	1	70.00597883341834			105.15378737496212
2	movie	mov	movie_02.tsv	5	105	140	105.17014733329415	1	105.17014829185791			140.1351574168075
2	n_back	nbko	n_back_02.tsv	5	140	175	140.14461375004612	1	140.144614583347	0.0		174.52091845846735
2	finger_sequence	fingseq	finger_sequence_02.tsv	5	175	210	175.00000191666186	1	175.00000474997796	0.0		209.5493254584726
2	action_observation	acva-acvk	action_observation_02.tsv	5	210	245	210.00001179170795	1	210.00001333327964			244.13120299996808
2	demand_grid	dmgrd	demand_grid_02.tsv	5	245	280	245.00000633345917	1	245.00000766664743	0.0		279.5950525000226
