task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
movie	mov	movie_03.tsv	5	30	0	35
affective	affect	affective_03.tsv	5	30	35	70
auditory_narrative	audnarr	auditory_narrative_03.tsv	5	30	70	105
finger_sequence	fingseq	finger_sequence_03.tsv	5	30	105	140
demand_grid	dmgrd	demand_grid_03.tsv	5	30	140	175
rest	rest	rest_03.tsv	5	30	175	210
n_back	nbko	n_back_03.tsv	5	30	210	245
action_observation	actobserv	action_observation_03.tsv	5	30	245	280
